investor_id,Active_Months,Continuation_Status
INV000001,2,Dropped
INV000002,6,Consistent
INV000003,2,Dropped
INV000004,6,Consistent
INV000005,6,Consistent
INV000006,5,Dropped
INV000007,5,Dropped
INV000008,8,Consistent
INV000009,7,Consistent
INV000010,7,Consistent
INV000011,7,Consistent
INV000012,9,Consistent
INV000013,6,Consistent
INV000014,8,Consistent
INV000015,2,Dropped
INV000016,3,Dropped
INV000017,4,Dropped
INV000018,4,Dropped
INV000019,2,Dropped
INV000020,5,Dropped
INV000021,4,Dropped
INV000022,6,Consistent
INV000023,9,Consistent
INV000024,6,Consistent
INV000025,1,Dropped
INV000026,6,Consistent
INV000027,5,Dropped
INV000028,6,Consistent
INV000029,10,Consistent
INV000030,9,Consistent
INV000031,4,Dropped
INV000032,7,Consistent
INV000033,8,Consistent
INV000034,3,Dropped
INV000035,2,Dropped
INV000036,2,Dropped
INV000037,4,Dropped
INV000038,5,Dropped
INV000039,8,Consistent
INV000040,9,Consistent
INV000041,6,Consistent
INV000042,3,Dropped
INV000043,3,Dropped
INV000044,4,Dropped
INV000045,9,Consistent
INV000046,6,Consistent
INV000047,5,Dropped
INV000048,8,Consistent
INV000049,3,Dropped
INV000050,2,Dropped
INV000051,6,Consistent
INV000052,7,Consistent
INV000053,2,Dropped
INV000054,6,Consistent
INV000055,9,Consistent
INV000056,7,Consistent
INV000057,8,Consistent
INV000058,6,Consistent
INV000059,1,Dropped
INV000060,2,Dropped
INV000061,5,Dropped
INV000062,8,Consistent
INV000063,3,Dropped
INV000064,1,Dropped
INV000065,6,Consistent
INV000066,6,Consistent
INV000067,1,Dropped
INV000068,1,Dropped
INV000069,10,Consistent
INV000070,4,Dropped
INV000071,3,Dropped
INV000072,7,Consistent
INV000073,9,Consistent
INV000074,7,Consistent
INV000075,7,Consistent
INV000076,8,Consistent
INV000077,2,Dropped
INV000078,4,Dropped
INV000079,6,Consistent
INV000080,4,Dropped
INV000081,7,Consistent
INV000082,7,Consistent
INV000083,2,Dropped
INV000084,6,Consistent
INV000085,6,Consistent
INV000086,10,Consistent
INV000087,8,Consistent
INV000088,3,Dropped
INV000089,7,Consistent
INV000090,4,Dropped
INV000091,8,Consistent
INV000092,4,Dropped
INV000093,9,Consistent
INV000094,7,Consistent
INV000095,8,Consistent
INV000096,1,Dropped
INV000097,8,Consistent
INV000098,6,Consistent
INV000099,7,Consistent
INV000100,7,Consistent
INV000101,7,Consistent
INV000102,10,Consistent
INV000103,7,Consistent
INV000104,11,Consistent
INV000105,9,Consistent
INV000106,3,Dropped
INV000107,4,Dropped
INV000108,8,Consistent
INV000109,8,Consistent
INV000110,3,Dropped
INV000111,2,Dropped
INV000112,4,Dropped
INV000113,7,Consistent
INV000114,3,Dropped
INV000115,6,Consistent
INV000116,5,Dropped
INV000117,7,Consistent
INV000118,4,Dropped
INV000119,2,Dropped
INV000120,3,Dropped
INV000121,4,Dropped
INV000122,1,Dropped
INV000123,7,Consistent
INV000124,5,Dropped
INV000125,6,Consistent
INV000126,3,Dropped
INV000127,3,Dropped
INV000128,7,Consistent
INV000129,10,Consistent
INV000130,7,Consistent
INV000131,10,Consistent
INV000132,7,Consistent
INV000133,6,Consistent
INV000134,3,Dropped
INV000135,3,Dropped
INV000136,1,Dropped
INV000137,7,Consistent
INV000138,8,Consistent
INV000139,1,Dropped
INV000140,4,Dropped
INV000141,1,Dropped
INV000142,1,Dropped
INV000143,6,Consistent
INV000144,5,Dropped
INV000145,8,Consistent
INV000146,5,Dropped
INV000147,6,Consistent
INV000148,8,Consistent
INV000149,1,Dropped
INV000150,8,Consistent
INV000151,5,Dropped
INV000152,2,Dropped
INV000153,6,Consistent
INV000154,9,Consistent
INV000155,6,Consistent
INV000156,5,Dropped
INV000157,1,Dropped
INV000158,8,Consistent
INV000159,3,Dropped
INV000160,4,Dropped
INV000161,8,Consistent
INV000162,2,Dropped
INV000163,8,Consistent
INV000164,4,Dropped
INV000165,6,Consistent
INV000166,5,Dropped
INV000167,7,Consistent
INV000168,3,Dropped
INV000169,8,Consistent
INV000170,2,Dropped
INV000171,4,Dropped
INV000172,3,Dropped
INV000173,6,Consistent
INV000174,7,Consistent
INV000175,8,Consistent
INV000176,4,Dropped
INV000177,8,Consistent
INV000178,2,Dropped
INV000179,6,Consistent
INV000180,6,Consistent
INV000181,6,Consistent
INV000182,7,Consistent
INV000183,9,Consistent
INV000184,1,Dropped
INV000185,2,Dropped
INV000186,2,Dropped
INV000187,1,Dropped
INV000188,2,Dropped
INV000189,6,Consistent
INV000190,6,Consistent
INV000191,8,Consistent
INV000192,7,Consistent
INV000193,7,Consistent
INV000194,8,Consistent
INV000195,9,Consistent
INV000196,7,Consistent
